RespondentID,What is your location?,What is your age?,What is your gender?,What is your role?,What is your industry?,Which AI tools do you prefer to use?,Which SaaS tools do you use within your role?,"On a scale of 1-10, how satisfied are you with your role?","On a scale of 1-10, how useful is AI in your role?",Any comments you would like to leave about your role?
334,Florida,35-44,Female,Manager,Finance,Gemini | Other | Copilot,Salesforce | Jira | Asana | Notion,4,4,
335,California,18-24,Prefer not to say,Manager,Healthcare,Copilot | Claude,Asana | Jira | Slack | Zoom,10,1,I enjoy my role but workload is high.
336,California,18-24,Male,Sales,Finance,Other,Asana | Zoom | Slack,7,7,
337,New York,35-44,Prefer not to say,HR,Retail,Gemini,Notion | Jira | Asana | Slack,3,3,I enjoy my role but workload is high.
338,Illinois,45-54,Female,Data Analyst,Finance,Claude | Gemini | ChatGPT,Asana | Notion | Salesforce | Jira,7,3,
339,Texas,25-34,Non-binary,Engineer,Education,Other | Claude,Salesforce | Asana | Zoom | Slack,6,1,I love the team culture here.
340,Illinois,45-54,Female,Engineer,Tech,Gemini | Copilot,Zoom | Jira | Notion,9,5,Great opportunities for growth.
341,Texas,45-54,Female,Manager,Finance,Other | Claude | ChatGPT,Zoom | Slack | Asana | Jira,8,4,I love the team culture here.
342,Florida,35-44,Non-binary,Data Analyst,Finance,Other,Zoom | Notion,2,9,I enjoy my role but workload is high.
343,Florida,45-54,Prefer not to say,HR,Tech,Gemini | Copilot,Zoom,5,1,Great opportunities for growth.
344,California,35-44,Non-binary,Sales,Tech,Gemini | Copilot,Jira | Asana | Slack,2,2,AI has made my job much easier.
345,Illinois,55+,Non-binary,Manager,Education,Gemini | Other | Claude,Notion | Jira,10,3,I love the team culture here.
346,Illinois,25-34,Non-binary,Engineer,Retail,Claude | Copilot,Salesforce | Slack | Jira,3,8,
347,Texas,25-34,Male,Data Analyst,Finance,ChatGPT | Other | Claude,Slack,4,5,AI has made my job much easier.
348,Florida,45-54,Non-binary,Manager,Tech,Other | Gemini | ChatGPT,Salesforce | Slack,9,7,
349,New York,35-44,Female,Data Analyst,Healthcare,Claude,Jira | Notion | Asana,9,10,Great opportunities for growth.
350,Illinois,35-44,Male,Sales,Healthcare,Other | ChatGPT | Claude,Salesforce | Zoom | Asana | Notion,4,1,Management could improve communication.
351,Texas,25-34,Male,HR,Healthcare,Copilot | ChatGPT | Gemini,Notion | Slack,10,1,Great opportunities for growth.
352,Florida,25-34,Female,Sales,Education,Claude | Copilot | Gemini,Notion | Asana | Jira | Salesforce,7,7,I enjoy my role but workload is high.
353,Illinois,35-44,Non-binary,Manager,Retail,Other,Asana | Slack | Jira,1,1,Management could improve communication.
354,New York,45-54,Male,Manager,Healthcare,Gemini | Claude | ChatGPT,Slack | Salesforce | Jira | Asana,1,3,
355,Texas,18-24,Prefer not to say,Data Analyst,Tech,Copilot | ChatGPT | Claude,Zoom,5,10,Great opportunities for growth.
356,California,25-34,Prefer not to say,HR,Healthcare,Copilot | Claude | Gemini,Notion | Zoom | Salesforce,5,8,AI has made my job much easier.
357,Texas,45-54,Female,Engineer,Education,ChatGPT,Notion | Jira | Salesforce,9,10,I enjoy my role but workload is high.
358,Texas,35-44,Female,Data Analyst,Education,Copilot | Other | Claude,Jira | Salesforce | Slack | Notion,4,9,I enjoy my role but workload is high.
359,Illinois,45-54,Female,HR,Education,Claude | Gemini,Jira | Asana,9,4,I enjoy my role but workload is high.
360,California,55+,Prefer not to say,Manager,Healthcare,Gemini | ChatGPT | Claude,Zoom,10,1,
361,Florida,25-34,Non-binary,Manager,Finance,Gemini | Claude,Slack,7,7,
362,Florida,45-54,Male,Sales,Finance,Other,Zoom,2,1,AI has made my job much easier.
363,Texas,35-44,Prefer not to say,HR,Tech,Other,Slack | Salesforce,2,7,Great opportunities for growth.
364,California,55+,Male,HR,Healthcare,ChatGPT | Copilot,Asana | Zoom,7,9,
365,New York,25-34,Female,HR,Tech,Copilot | Gemini,Asana | Jira | Notion,2,8,AI has made my job much easier.
366,Texas,45-54,Female,HR,Healthcare,ChatGPT | Copilot | Other,Jira | Slack,2,3,
367,Illinois,55+,Female,Engineer,Education,ChatGPT,Jira | Slack,6,5,I enjoy my role but workload is high.
368,Texas,55+,Prefer not to say,Data Analyst,Education,Other | Copilot | Claude,Salesforce | Zoom,1,1,Management could improve communication.
369,Texas,55+,Prefer not to say,Sales,Finance,Other | ChatGPT,Asana | Salesforce,3,5,Management could improve communication.
370,New York,45-54,Non-binary,Manager,Healthcare,Copilot | ChatGPT | Gemini,Asana | Jira,6,5,AI has made my job much easier.
371,California,55+,Prefer not to say,HR,Healthcare,ChatGPT | Copilot,Slack | Jira | Salesforce | Asana,6,8,AI has made my job much easier.
372,New York,35-44,Non-binary,Data Analyst,Healthcare,ChatGPT | Gemini,Asana | Notion | Jira | Slack,1,6,I enjoy my role but workload is high.
373,Florida,35-44,Male,HR,Retail,Other | Gemini,Slack,7,4,Management could improve communication.
374,Illinois,35-44,Prefer not to say,Engineer,Tech,Claude,Notion | Slack | Zoom,10,9,I love the team culture here.
375,Illinois,45-54,Prefer not to say,Sales,Finance,Gemini | Claude,Asana | Zoom | Jira,3,10,AI has made my job much easier.
376,Texas,18-24,Female,Engineer,Retail,Gemini,Notion | Zoom,3,8,
377,New York,55+,Non-binary,Manager,Healthcare,Claude | ChatGPT | Copilot,Zoom,3,6,Great opportunities for growth.
378,Florida,18-24,Male,Data Analyst,Education,Other | Claude,Salesforce,2,6,Management could improve communication.
379,Florida,35-44,Male,HR,Healthcare,Copilot | Claude,Notion | Salesforce | Asana | Slack,6,7,
380,California,18-24,Male,Engineer,Retail,Other,Asana | Zoom | Jira,10,8,
381,Texas,55+,Prefer not to say,Data Analyst,Education,Copilot,Notion | Slack | Jira | Salesforce,5,10,Great opportunities for growth.
382,Illinois,45-54,Female,Engineer,Finance,ChatGPT,Slack | Notion | Jira,8,4,I enjoy my role but workload is high.
383,California,45-54,Male,Data Analyst,Healthcare,ChatGPT | Copilot,Zoom | Asana | Salesforce,8,5,Great opportunities for growth.
384,Illinois,18-24,Male,Data Analyst,Healthcare,Copilot | Gemini,Salesforce | Notion,9,10,AI has made my job much easier.
385,New York,18-24,Male,Sales,Education,ChatGPT | Gemini | Copilot,Notion | Jira,8,7,
386,Illinois,25-34,Female,Engineer,Finance,Gemini | Copilot,Slack | Notion | Salesforce | Zoom,4,3,Great opportunities for growth.
387,California,35-44,Non-binary,Sales,Education,Copilot,Zoom,8,10,AI has made my job much easier.
388,Illinois,45-54,Prefer not to say,HR,Finance,ChatGPT | Claude | Gemini,Notion | Asana | Zoom | Slack,2,9,Management could improve communication.
389,New York,55+,Male,HR,Healthcare,ChatGPT | Gemini | Other,Zoom,4,2,Great opportunities for growth.
390,Florida,18-24,Non-binary,HR,Healthcare,Gemini | ChatGPT | Claude,Salesforce | Jira,10,2,AI has made my job much easier.
391,Illinois,55+,Non-binary,HR,Finance,ChatGPT,Jira | Notion | Slack,9,8,I enjoy my role but workload is high.
392,Florida,35-44,Prefer not to say,Manager,Healthcare,Gemini | Copilot | ChatGPT,Jira | Notion,10,5,I enjoy my role but workload is high.
393,Texas,45-54,Male,HR,Tech,Other | Gemini | Copilot,Zoom | Notion,1,6,Management could improve communication.
394,Illinois,45-54,Male,Engineer,Finance,Claude | Copilot | ChatGPT,Asana,7,7,
395,Florida,55+,Female,Engineer,Healthcare,Other,Salesforce | Slack | Zoom,3,8,
396,California,35-44,Male,Sales,Education,ChatGPT,Salesforce | Jira,2,1,Great opportunities for growth.
397,Texas,55+,Non-binary,Data Analyst,Finance,ChatGPT | Other | Claude,Slack | Salesforce | Jira,3,6,Great opportunities for growth.
398,Texas,45-54,Female,Data Analyst,Education,Copilot | Gemini,Slack | Asana | Salesforce | Jira,2,5,Management could improve communication.
399,Illinois,18-24,Prefer not to say,HR,Healthcare,Claude,Zoom | Slack | Salesforce | Asana,6,7,AI has made my job much easier.
400,Texas,25-34,Prefer not to say,Engineer,Healthcare,Claude | ChatGPT | Gemini,Notion | Asana,1,3,Great opportunities for growth.
401,Florida,35-44,Non-binary,Engineer,Retail,Claude | Copilot | Gemini,Jira | Zoom | Notion,5,6,Management could improve communication.
402,Texas,18-24,Male,Manager,Tech,Other | Copilot,Slack | Asana | Notion | Jira,4,10,
403,Illinois,35-44,Male,HR,Healthcare,Other | Copilot,Slack | Asana | Jira,8,6,
404,Illinois,18-24,Male,Sales,Healthcare,Claude | Gemini | Other,Notion | Jira | Zoom | Asana,6,6,I love the team culture here.
405,Illinois,55+,Prefer not to say,Sales,Retail,ChatGPT | Gemini,Zoom | Jira | Notion | Salesforce,6,7,Great opportunities for growth.
406,Illinois,25-34,Non-binary,Engineer,Tech,Gemini | Other | Claude,Zoom | Notion,4,2,AI has made my job much easier.
407,California,55+,Non-binary,Manager,Tech,Other | ChatGPT | Claude,Jira,1,3,Management could improve communication.
408,Florida,25-34,Non-binary,Manager,Retail,Claude | ChatGPT,Salesforce,7,3,I love the team culture here.
409,Illinois,55+,Non-binary,Sales,Finance,Gemini | Claude | Copilot,Asana,1,4,Great opportunities for growth.
410,Illinois,35-44,Non-binary,Engineer,Healthcare,Gemini,Jira | Notion | Slack,1,10,Great opportunities for growth.
411,Texas,55+,Female,Manager,Retail,ChatGPT,Zoom | Notion | Salesforce | Asana,5,9,Great opportunities for growth.
412,New York,35-44,Prefer not to say,Manager,Retail,Claude | ChatGPT,Salesforce,10,3,
413,New York,35-44,Non-binary,Data Analyst,Retail,Gemini | Copilot | ChatGPT,Notion | Slack | Jira,4,7,Management could improve communication.
414,Illinois,45-54,Non-binary,HR,Healthcare,Other,Asana | Slack,10,2,AI has made my job much easier.
415,Illinois,18-24,Male,Manager,Education,ChatGPT | Other,Salesforce | Slack | Notion,9,7,Great opportunities for growth.
416,California,18-24,Female,Engineer,Education,Copilot | Gemini | Claude,Asana,9,1,I love the team culture here.
417,New York,35-44,Male,HR,Education,Copilot,Zoom | Notion | Slack,10,10,AI has made my job much easier.
418,Florida,18-24,Male,Sales,Education,Gemini | ChatGPT | Copilot,Jira | Salesforce | Slack,6,3,I love the team culture here.
419,California,25-34,Non-binary,Engineer,Retail,ChatGPT | Copilot,Slack | Salesforce,10,10,Great opportunities for growth.
420,Illinois,45-54,Female,HR,Healthcare,Gemini | ChatGPT | Claude,Slack,6,9,
421,New York,18-24,Prefer not to say,Sales,Education,Copilot | ChatGPT,Salesforce | Slack | Asana,7,3,
422,Florida,45-54,Prefer not to say,Data Analyst,Healthcare,Copilot | Other,Jira | Zoom | Salesforce,9,6,
423,Texas,55+,Male,HR,Finance,Copilot | ChatGPT | Claude,Slack | Salesforce | Zoom | Asana,9,8,I love the team culture here.
424,Illinois,35-44,Male,Manager,Finance,ChatGPT | Copilot,Slack | Notion | Jira | Zoom,6,2,Great opportunities for growth.
425,California,55+,Non-binary,Sales,Healthcare,Claude | Copilot | Other,Jira | Asana | Notion | Salesforce,6,3,Great opportunities for growth.
426,California,45-54,Male,HR,Finance,Claude | ChatGPT,Salesforce | Asana,1,10,Great opportunities for growth.
427,Texas,18-24,Male,HR,Finance,Claude,Salesforce | Jira | Zoom | Slack,9,6,Great opportunities for growth.
428,Florida,55+,Male,Sales,Retail,Copilot | Claude,Zoom | Salesforce | Asana,4,10,AI has made my job much easier.
429,Texas,25-34,Prefer not to say,HR,Healthcare,ChatGPT,Jira,9,3,
430,Illinois,45-54,Prefer not to say,HR,Finance,ChatGPT | Copilot,Asana | Notion | Zoom | Salesforce,9,8,AI has made my job much easier.
431,Florida,35-44,Prefer not to say,Manager,Healthcare,ChatGPT | Claude | Copilot,Notion | Jira | Slack,7,7,I enjoy my role but workload is high.
432,New York,18-24,Male,HR,Education,ChatGPT,Slack,7,5,Great opportunities for growth.
433,California,18-24,Non-binary,Manager,Retail,ChatGPT | Claude | Copilot,Asana | Notion | Jira | Salesforce,4,3,I enjoy my role but workload is high.
434,California,25-34,Female,Manager,Tech,Claude | Gemini,Jira | Asana,7,3,I love the team culture here.
435,Texas,25-34,Female,HR,Education,Other,Zoom | Jira | Notion | Asana,8,2,I enjoy my role but workload is high.
436,Texas,18-24,Non-binary,Sales,Healthcare,Copilot,Slack | Salesforce | Asana | Notion,2,9,I love the team culture here.
437,Illinois,55+,Female,Sales,Retail,Gemini | Other,Notion | Jira | Asana,7,7,Great opportunities for growth.
438,Illinois,18-24,Female,Data Analyst,Finance,Claude,Notion | Zoom | Asana,10,4,
439,New York,18-24,Female,Manager,Education,Other | Gemini | Claude,Zoom | Notion | Jira | Salesforce,10,10,I love the team culture here.
440,New York,18-24,Prefer not to say,Manager,Retail,Other | Copilot,Asana | Salesforce | Notion | Slack,8,9,AI has made my job much easier.
441,New York,55+,Female,Data Analyst,Healthcare,Copilot | ChatGPT,Jira | Zoom | Notion,10,10,
442,Illinois,45-54,Female,Data Analyst,Tech,Copilot | Gemini | ChatGPT,Slack,10,1,Management could improve communication.
443,New York,55+,Female,HR,Healthcare,Gemini | Other,Notion | Zoom | Asana | Slack,10,3,I love the team culture here.
444,New York,45-54,Prefer not to say,Sales,Retail,Copilot | Gemini,Asana | Jira | Salesforce | Slack,4,3,Management could improve communication.
445,Florida,18-24,Male,HR,Tech,ChatGPT | Gemini,Slack | Jira | Zoom | Salesforce,8,1,
446,Illinois,25-34,Prefer not to say,Engineer,Finance,Claude | ChatGPT,Salesforce,2,10,Management could improve communication.
447,Florida,18-24,Female,Manager,Retail,Claude | ChatGPT | Other,Asana | Notion,8,6,AI has made my job much easier.
448,California,25-34,Non-binary,Manager,Tech,Copilot,Notion,4,10,Management could improve communication.
449,New York,55+,Male,Data Analyst,Healthcare,ChatGPT | Other,Salesforce | Jira | Notion | Slack,1,2,
450,Florida,55+,Female,Sales,Tech,Other | ChatGPT,Salesforce | Jira,3,8,I love the team culture here.
451,New York,35-44,Male,HR,Education,Gemini,Salesforce | Jira | Slack,3,8,
452,Texas,45-54,Female,Data Analyst,Tech,Claude | Other,Zoom | Jira | Slack,2,7,AI has made my job much easier.
453,Florida,35-44,Prefer not to say,HR,Education,Other,Zoom,8,2,
454,New York,55+,Non-binary,Manager,Education,Copilot,Asana,4,8,AI has made my job much easier.
455,California,25-34,Non-binary,Engineer,Finance,ChatGPT | Gemini | Claude,Slack | Salesforce | Jira,2,7,
456,Florida,35-44,Non-binary,Data Analyst,Finance,Gemini | Copilot | Claude,Zoom,10,7,
457,New York,18-24,Female,HR,Tech,Other | Claude | Gemini,Notion,5,2,AI has made my job much easier.
458,Illinois,45-54,Non-binary,Engineer,Healthcare,Gemini,Zoom | Slack | Asana | Jira,9,9,Great opportunities for growth.
459,Florida,18-24,Female,Manager,Education,Copilot | Claude | ChatGPT,Asana | Jira,4,6,I love the team culture here.
460,New York,18-24,Non-binary,Engineer,Healthcare,Gemini | Copilot,Notion | Jira | Asana | Slack,10,3,I enjoy my role but workload is high.
461,California,55+,Female,Manager,Finance,ChatGPT | Claude | Gemini,Zoom | Asana | Salesforce,10,9,I enjoy my role but workload is high.
462,California,55+,Female,Sales,Finance,ChatGPT | Gemini,Asana,1,10,Management could improve communication.
463,Texas,35-44,Non-binary,Sales,Retail,Gemini | Other,Salesforce,8,10,Great opportunities for growth.
464,California,25-34,Non-binary,HR,Healthcare,ChatGPT | Copilot | Gemini,Asana | Zoom | Notion,7,4,I love the team culture here.
465,New York,45-54,Prefer not to say,HR,Tech,ChatGPT | Copilot | Claude,Zoom | Salesforce,5,4,AI has made my job much easier.
466,Florida,55+,Non-binary,Sales,Education,ChatGPT | Copilot,Zoom | Salesforce | Notion,10,7,
467,California,25-34,Male,Manager,Finance,Claude,Zoom | Salesforce | Slack,10,10,
468,Florida,45-54,Non-binary,Sales,Finance,Claude | Gemini | Copilot,Zoom,8,7,AI has made my job much easier.
469,California,35-44,Non-binary,Manager,Education,Gemini | ChatGPT | Copilot,Notion,6,3,
470,Texas,35-44,Female,Sales,Healthcare,Other | Copilot,Notion,7,1,Great opportunities for growth.
471,Florida,18-24,Female,HR,Education,Gemini,Salesforce | Asana,4,2,Management could improve communication.
472,California,25-34,Prefer not to say,Data Analyst,Retail,Other | Claude | Gemini,Slack | Asana | Zoom,8,7,AI has made my job much easier.
473,Illinois,45-54,Female,Engineer,Healthcare,ChatGPT | Claude | Gemini,Asana | Jira | Slack | Notion,6,10,I enjoy my role but workload is high.
474,Illinois,55+,Non-binary,Sales,Healthcare,Gemini | ChatGPT,Salesforce | Jira,9,5,
475,New York,45-54,Female,Manager,Finance,Copilot | Claude | ChatGPT,Zoom | Notion | Slack,1,1,AI has made my job much easier.
476,Illinois,35-44,Male,Sales,Education,ChatGPT,Notion | Slack,2,6,I love the team culture here.
477,New York,45-54,Female,Manager,Finance,ChatGPT | Copilot | Gemini,Zoom | Slack | Notion,6,5,
478,New York,25-34,Prefer not to say,Engineer,Education,Copilot,Salesforce | Slack | Zoom | Jira,10,9,AI has made my job much easier.
479,Florida,18-24,Male,Data Analyst,Healthcare,ChatGPT | Gemini,Notion,2,3,Management could improve communication.
480,New York,25-34,Prefer not to say,Data Analyst,Healthcare,Gemini | Other | ChatGPT,Slack | Jira | Salesforce | Notion,10,7,Great opportunities for growth.
481,Illinois,18-24,Female,Sales,Education,Copilot | Claude,Asana | Slack | Zoom | Notion,6,5,Management could improve communication.
482,Texas,25-34,Female,Engineer,Education,ChatGPT | Claude,Notion | Jira | Slack | Asana,10,10,
483,New York,55+,Prefer not to say,Data Analyst,Healthcare,ChatGPT | Other | Gemini,Jira | Slack,3,7,
484,New York,18-24,Prefer not to say,HR,Retail,Copilot | Claude | ChatGPT,Notion | Zoom | Salesforce | Slack,2,4,
485,Texas,18-24,Prefer not to say,Engineer,Finance,Gemini,Zoom | Jira,4,4,
486,Florida,55+,Prefer not to say,Sales,Finance,ChatGPT | Claude,Jira | Zoom | Slack | Notion,7,8,
487,Florida,35-44,Female,HR,Retail,Other | Copilot,Notion | Salesforce,6,4,I enjoy my role but workload is high.
488,Florida,45-54,Female,Sales,Finance,ChatGPT | Copilot | Claude,Notion | Jira,3,4,Great opportunities for growth.
489,Texas,18-24,Non-binary,Engineer,Tech,Other | Copilot | Gemini,Zoom | Jira,8,8,AI has made my job much easier.
490,New York,25-34,Female,Sales,Education,ChatGPT,Jira | Notion,7,9,Management could improve communication.
491,Florida,25-34,Non-binary,Data Analyst,Retail,ChatGPT,Jira | Notion,4,7,I love the team culture here.
492,Texas,45-54,Prefer not to say,Sales,Tech,Claude | Copilot | Other,Slack | Jira | Asana,10,3,
493,Texas,55+,Male,Engineer,Tech,Copilot,Jira,9,8,I love the team culture here.
494,Florida,35-44,Male,Engineer,Education,ChatGPT,Slack | Jira | Zoom,5,8,
495,New York,55+,Male,HR,Finance,Other | Copilot,Slack | Zoom,9,5,I enjoy my role but workload is high.
496,California,45-54,Female,Sales,Education,Other | Gemini | ChatGPT,Zoom,3,1,Management could improve communication.
497,Illinois,55+,Non-binary,Engineer,Healthcare,ChatGPT | Copilot | Claude,Asana | Zoom | Salesforce,5,2,I love the team culture here.
498,Florida,45-54,Female,Data Analyst,Tech,Gemini | ChatGPT | Other,Zoom | Jira | Salesforce | Slack,7,7,Management could improve communication.
499,New York,18-24,Female,Data Analyst,Retail,Copilot | Other | Gemini,Slack | Zoom | Jira | Asana,3,9,AI has made my job much easier.
500,Florida,35-44,Female,Data Analyst,Education,Copilot,Notion,1,2,I love the team culture here.
